无,#genre#

2号,rtp://239.21.2.1:5002
6号,rtp://239.21.2.5:5002
9号,rtp://239.21.2.8:5002
8号,rtp://239.21.2.7:5002
5号,rtp://239.21.2.4:5002
3号,rtp://239.21.2.2:5002
12号,rtp://239.21.2.11:5002
11号,rtp://239.21.2.10:5002
14号,rtp://239.21.2.13:5002
13号,rtp://239.21.2.12:5002
15号,rtp://239.21.2.14:5002
10号,rtp://239.21.2.9:5002
16号,rtp://239.21.2.15:5002
19号,rtp://239.21.2.18:5002
21号,rtp://239.21.2.20:5002
20号,rtp://239.21.2.19:5002
22号,rtp://239.21.2.21:5002
25号,rtp://239.21.2.24:5002
24号,rtp://239.21.2.23:5002
27号,rtp://239.21.2.26:5002
31号,rtp://239.21.2.30:5002
29号,rtp://239.21.2.28:5002
32号,rtp://239.21.2.31:5002
33号,rtp://239.21.2.32:5002
35号,rtp://239.21.2.34:5002
34号,rtp://239.21.2.33:5002
38号,rtp://239.21.2.37:5002
37号,rtp://239.21.2.36:5002
36号,rtp://239.21.2.35:5002
50号,rtp://239.21.2.49:5002
49号,rtp://239.21.2.48:5002
52号,rtp://239.21.2.51:5002
51号,rtp://239.21.2.50:5002
57号,rtp://239.21.2.56:5002
54号,rtp://239.21.2.53:5002
56号,rtp://239.21.2.55:5002
53号,rtp://239.21.2.52:5002
65号,rtp://239.21.2.64:5002
66号,rtp://239.21.2.65:5002
61号,rtp://239.21.2.60:5002
64号,rtp://239.21.2.63:5002
69号,rtp://239.21.2.68:5002
67号,rtp://239.21.2.66:5002
72号,rtp://239.21.2.71:5002
80号,rtp://239.21.2.79:5002
81号,rtp://239.21.2.80:5002
85号,rtp://239.21.2.84:5002
83号,rtp://239.21.2.82:5002
82号,rtp://239.21.2.81:5002
84号,rtp://239.21.2.83:5002
88号,rtp://239.21.2.87:5002
87号,rtp://239.21.2.86:5002
89号,rtp://239.21.2.88:5002
92号,rtp://239.21.2.91:5002
86号,rtp://239.21.2.85:5002
94号,rtp://239.21.2.93:5002
90号,rtp://239.21.2.89:5002
95号,rtp://239.21.2.94:5002
93号,rtp://239.21.2.92:5002
96号,rtp://239.21.2.95:5002
99号,rtp://239.21.2.98:5002
105号,rtp://239.21.2.104:5002
98号,rtp://239.21.2.97:5002
100号,rtp://239.21.2.99:5002
97号,rtp://239.21.2.96:5002
103号,rtp://239.21.2.102:5002
102号,rtp://239.21.2.101:5002
110号,rtp://239.21.2.109:5002
108号,rtp://239.21.2.107:5002
106号,rtp://239.21.2.105:5002
111号,rtp://239.21.2.110:5002
113号,rtp://239.21.2.112:5002
116号,rtp://239.21.2.115:5002
117号,rtp://239.21.2.116:5002
118号,rtp://239.21.2.117:5002
119号,rtp://239.21.2.118:5002
121号,rtp://239.21.2.120:5002
122号,rtp://239.21.2.121:5002
123号,rtp://239.21.2.122:5002
124号,rtp://239.21.2.123:5002
120号,rtp://239.21.2.119:5002
125号,rtp://239.21.2.124:5002
126号,rtp://239.21.2.125:5002
131号,rtp://239.21.2.130:5002
132号,rtp://239.21.2.131:5002
130号,rtp://239.21.2.129:5002
127号,rtp://239.21.2.126:5002
129号,rtp://239.21.2.128:5002
139号,rtp://239.21.2.138:5002
138号,rtp://239.21.2.137:5002
136号,rtp://239.21.2.135:5002
137号,rtp://239.21.2.136:5002
